,time,price
11,2021-04-04 10:00:00+00:00,258.44
12,2021-04-04 11:00:00+00:00,226.75
13,2021-04-04 12:00:00+00:00,101.91
14,2021-04-04 13:00:00+00:00,21.03
15,2021-04-04 14:00:00+00:00,17.81
16,2021-04-04 15:00:00+00:00,25.65
17,2021-04-04 16:00:00+00:00,100.9
18,2021-04-04 17:00:00+00:00,309.14
19,2021-04-04 18:00:00+00:00,344.45
20,2021-04-04 19:00:00+00:00,349.69
21,2021-04-04 20:00:00+00:00,345.76
22,2021-04-04 21:00:00+00:00,325.04
23,2021-04-04 22:00:00+00:00,246.17
0,2021-04-04 23:00:00+00:00,154.82
1,2021-04-05 00:00:00+00:00,193.76
2,2021-04-05 01:00:00+00:00,139.03
3,2021-04-05 02:00:00+00:00,150.8
4,2021-04-05 03:00:00+00:00,85.01
5,2021-04-05 04:00:00+00:00,20.22
6,2021-04-05 05:00:00+00:00,50.7
7,2021-04-05 06:00:00+00:00,119.61
8,2021-04-05 07:00:00+00:00,216.99
9,2021-04-05 08:00:00+00:00,303.91
10,2021-04-05 09:00:00+00:00,265.38
11,2021-04-05 10:00:00+00:00,256.13
12,2021-04-05 11:00:00+00:00,246.17
13,2021-04-05 12:00:00+00:00,88.03
14,2021-04-05 13:00:00+00:00,50.8
15,2021-04-05 14:00:00+00:00,41.25
16,2021-04-05 15:00:00+00:00,44.67
17,2021-04-05 16:00:00+00:00,56.84
18,2021-04-05 17:00:00+00:00,258.34
19,2021-04-05 18:00:00+00:00,318.3
20,2021-04-05 19:00:00+00:00,321.12
21,2021-04-05 20:00:00+00:00,322.02
22,2021-04-05 21:00:00+00:00,315.28
23,2021-04-05 22:00:00+00:00,299.69
0,2021-04-05 23:00:00+00:00,283.49
1,2021-04-06 00:00:00+00:00,180.38
2,2021-04-06 01:00:00+00:00,163.78
3,2021-04-06 02:00:00+00:00,253.31
4,2021-04-06 03:00:00+00:00,296.47
5,2021-04-06 04:00:00+00:00,349.79
6,2021-04-06 05:00:00+00:00,414.67
7,2021-04-06 06:00:00+00:00,442.74
8,2021-04-06 07:00:00+00:00,542.44
9,2021-04-06 08:00:00+00:00,407.43
10,2021-04-06 09:00:00+00:00,404.41
11,2021-04-06 10:00:00+00:00,402.9
12,2021-04-06 11:00:00+00:00,395.76
13,2021-04-06 12:00:00+00:00,372.22
14,2021-04-06 13:00:00+00:00,365.08
15,2021-04-06 14:00:00+00:00,361.25
16,2021-04-06 15:00:00+00:00,359.75
17,2021-04-06 16:00:00+00:00,389.62
18,2021-04-06 17:00:00+00:00,421.41
19,2021-04-06 18:00:00+00:00,433.59
20,2021-04-06 19:00:00+00:00,417.69
21,2021-04-06 20:00:00+00:00,404.61
22,2021-04-06 21:00:00+00:00,394.05
23,2021-04-06 22:00:00+00:00,390.13
0,2021-04-06 23:00:00+00:00,381.52
1,2021-04-07 00:00:00+00:00,381.83
2,2021-04-07 01:00:00+00:00,386.47
3,2021-04-07 02:00:00+00:00,393.03
4,2021-04-07 03:00:00+00:00,386.06
5,2021-04-07 04:00:00+00:00,399.29
6,2021-04-07 05:00:00+00:00,578.74
7,2021-04-07 06:00:00+00:00,786.06
