,index,PmP2QAct,PmP2PAct,PL,FedQAct,elspec_PmEAct,PmP2EImportAct,PV,Met_WdSpd,Met_Temp,Met_IrrGloHoztl,Met_IrrPOA,Met_ModTemo,SysBatIAct,SysBatEAct,SysBatSocTotAct,SysBatVAct,SysBatChargingSt,SysBatDischargingSt,date
1651,16510,-2.5189345075803633,15.925661991804075,333.1922383989606,6.845813523943179,312.49999993946403,15.00000000698492,271.500000001397,1.0,10.5,352.27272727272725,307.2,0.5,0.583333333333333,762.2496032714844,69.64999771118165,742.836370294744,0.9500580720092915,0.5595057446347279,2020-10-12 12:10:00
1652,16520,-4.968923332344775,15.63815880636883,299.42467186337416,7.59938995270502,334.9999999674037,12.1875,272.99999999580905,0.5,10.850000381469727,354.0,300.0,0.5,-1.5,762.2496032714844,69.64999771118165,742.8500061035155,0.9523809523809523,0.5605896379796228,2020-10-12 12:20:00
1653,16530,-3.54134438995622,14.664306257525055,271.61977578992037,6.280798084460772,302.4999999906868,17.499999990686774,276.00000000558794,0.25,11.75,351.0,293.0,0.5,0.07142857142857101,762.2496032714844,69.64999771118165,742.8166707356771,0.9547038327526132,0.5616735313245177,2020-10-12 12:30:00
1654,16540,-3.746191157235039,16.109048712966786,269.52068083626887,1.152652567735424,258.75,17.187499995343387,273.75,0.6666666666666667,12.100000381469727,350.5,285.5,0.5,0.846153846153845,762.2496032714844,69.64999771118165,742.8400024414062,0.957026713124274,0.5627574246694125,2020-10-12 12:40:00
1655,16550,-3.094692157486738,11.796582825978591,261.96507372174955,6.771086237260274,244.99999998137355,13.125,265.49999999580905,0.19047619047619047,12.699999809265135,345.6666666666667,277.5,0.5,0.29411764705882304,762.2496032714844,69.64999771118165,742.8333384195964,0.9593495934959351,0.5638413180143074,2020-10-12 12:50:00
1656,16560,-3.356931114808107,11.353404460809164,291.1503531079773,9.20179716316429,329.99999998603016,13.125,262.5,1.7142857142857142,13.25,340.75,268.0,0.5,-0.7142857142857141,762.4320068359375,69.66666412353514,742.8,0.9616724738675959,0.5649252113592023,2020-10-12 13:00:00
1657,16570,-5.357605049590104,14.125250183233687,294.95513943263467,9.174038782986727,281.25,12.500000023283064,258.75,0.5,13.533333778381348,336.0,258.0,0.5,2.375,761.702392578125,69.59999847412111,742.8000030517578,0.9639953542392568,0.5660091047040972,2020-10-12 13:10:00
1658,16580,-4.826219820779216,13.725108848130406,267.05631945683405,4.557042400435645,259.99999993946403,15.0,281.99999999720603,0.8,13.699999809265135,330.3333333333333,249.0,0.5,-1.3333333333333321,762.4320068359375,69.66666412353514,742.8000030517578,0.9663182346109176,0.5670929980489919,2020-10-12 13:20:00
1659,16590,-4.805720031754044,12.08665193605029,279.05603609952055,10.371531271719713,314.9999999720603,12.499999981373549,271.75000000046566,1.75,14.0,323.6666666666667,236.33333333333334,0.5,0.5,762.2496032714844,69.64999771118165,742.75,0.9686411149825784,0.5681768913938868,2020-10-12 13:30:00
1660,16600,-3.6605548560619363,10.612965138753255,270.86873427382477,11.557722022941517,259.99999998137355,9.375,245.99999999860302,1.0,13.600000381469727,316.0,224.0,0.5,0.8,762.2496032714844,69.64999771118165,742.75,0.9709639953542393,0.5692607847387817,2020-10-12 13:40:00
